brand,oct_view_sessions,nov_view_sessions,view_session_change,oct_purchase_sessions,nov_purchase_sessions,purchase_session_change,oct_revenue,nov_revenue,revenue_change,revenue_change_pct,oct_conversion_rate,nov_conversion_rate,conversion_rate_change,oct_cart_abandonment_pct,nov_cart_abandonment_pct,cart_abandonment_change,oct_revenue_per_view,nov_revenue_per_view,revenue_per_view_change
turboair,870.0,852.0,-18.0,13.0,6.0,-7.0,596.53,319.05,-277.48,-46.52,1.49,0.7,-0.79,38.1,75.0,36.9,0.69,0.37,-0.32
kingston,5742.0,6036.0,294.0,163.0,110.0,-53.0,6074.42,5802.33,-272.09,-4.48,2.84,1.82,-1.02,5.78,68.3,62.52,1.06,0.96,-0.1
aqua,1442.0,1243.0,-199.0,23.0,17.0,-6.0,819.65,564.2,-255.45,-31.17,1.6,1.37,-0.23,41.03,73.44,32.41,0.57,0.45,-0.12
total,2184.0,1839.0,-345.0,31.0,22.0,-9.0,1074.25,828.09,-246.16,-22.91,1.42,1.2,-0.22,40.38,55.1,14.72,0.49,0.45,-0.04
hitachi,572.0,525.0,-47.0,1.0,0.0,-1.0,191.1,0.0,-191.1,-100.0,0.17,0.0,-0.17,66.67,100.0,33.33,0.33,0.0,-0.33
barbie,588.0,684.0,96.0,4.0,3.0,-1.0,249.84,66.69,-183.15,-73.31,0.68,0.44,-0.24,20.0,57.14,37.14,0.42,0.1,-0.32
svc,748.0,875.0,127.0,10.0,11.0,1.0,497.54,339.08,-158.46,-31.85,1.34,1.26,-0.08,0.0,81.36,81.36,0.67,0.39,-0.28
delux,1047.0,1070.0,23.0,17.0,7.0,-10.0,211.78,81.51,-130.27,-61.51,1.62,0.65,-0.97,10.53,83.72,73.19,0.2,0.08,-0.12
tristar,852.0,578.0,-274.0,6.0,3.0,-3.0,208.33,101.22,-107.11,-51.41,0.7,0.52,-0.18,0.0,66.67,66.67,0.24,0.18,-0.06
horizont,1820.0,1581.0,-239.0,17.0,14.0,-3.0,2232.9,2129.77,-103.13,-4.62,0.93,0.89,-0.04,10.53,81.33,70.8,1.23,1.35,0.12
caramelia,1530.0,1077.0,-453.0,10.0,8.0,-2.0,328.2,245.37,-82.83,-25.24,0.65,0.74,0.09,37.5,68.0,30.5,0.21,0.23,0.02
flama,1775.0,1739.0,-36.0,14.0,12.0,-2.0,1887.0,1810.57,-76.43,-4.05,0.79,0.69,-0.1,17.65,79.66,62.01,1.06,1.04,-0.02
remax,810.0,762.0,-48.0,14.0,11.0,-3.0,341.56,270.76,-70.8,-20.73,1.73,1.44,-0.29,17.65,68.57,50.92,0.42,0.36,-0.06
mattel,535.0,0.0,-535.0,2.0,0.0,-2.0,53.62,0.0,-53.62,-100.0,0.37,0.0,-0.37,50.0,0.0,-50.0,0.1,0.0,-0.1
awei,703.0,503.0,-200.0,11.0,8.0,-3.0,189.92,143.9,-46.02,-24.23,1.56,1.59,0.03,21.43,57.89,36.46,0.27,0.29,0.02
toro,769.0,577.0,-192.0,9.0,5.0,-4.0,106.82,80.86,-25.96,-24.3,1.17,0.87,-0.3,35.71,76.19,40.48,0.14,0.14,0.0
pasabahce,656.0,593.0,-63.0,8.0,7.0,-1.0,43.02,35.87,-7.15,-16.62,1.22,1.18,-0.04,0.0,58.82,58.82,0.07,0.06,-0.01
caprice,794.0,0.0,-794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rado,525.0,0.0,-525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prologic,0.0,612.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
ski-doo,0.0,1032.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
roncato,0.0,697.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
