brand,oct_view_sessions,nov_view_sessions,view_session_change,oct_purchase_sessions,nov_purchase_sessions,purchase_session_change,oct_revenue,nov_revenue,revenue_change,revenue_change_pct,oct_conversion_rate,nov_conversion_rate,conversion_rate_change,oct_cart_abandonment_pct,nov_cart_abandonment_pct,cart_abandonment_change,oct_revenue_per_view,nov_revenue_per_view,revenue_per_view_change
unit,0.0,616.0,616.0,0.0,8.0,8.0,0.0,174.64,174.64,0.0,0.0,1.3,1.3,0.0,73.33,73.33,0.0,0.28,0.28
shagovita,0.0,897.0,897.0,0.0,2.0,2.0,0.0,174.98,174.98,0.0,0.0,0.22,0.22,0.0,80.0,80.0,0.0,0.2,0.2
p.i.t.,0.0,995.0,995.0,0.0,4.0,4.0,0.0,176.27,176.27,0.0,0.0,0.4,0.4,0.0,81.82,81.82,0.0,0.18,0.18
silverlit,0.0,4332.0,4332.0,0.0,4.0,4.0,0.0,185.52,185.52,0.0,0.0,0.09,0.09,0.0,96.4,96.4,0.0,0.04,0.04
scovo,0.0,517.0,517.0,0.0,5.0,5.0,0.0,188.27,188.27,0.0,0.0,0.97,0.97,0.0,44.44,44.44,0.0,0.36,0.36
rombica,0.0,618.0,618.0,0.0,5.0,5.0,0.0,188.3,188.3,0.0,0.0,0.81,0.81,0.0,66.67,66.67,0.0,0.3,0.3
erkaplan,0.0,582.0,582.0,0.0,1.0,1.0,0.0,191.51,191.51,0.0,0.0,0.17,0.17,0.0,90.0,90.0,0.0,0.33,0.33
usams,0.0,527.0,527.0,0.0,4.0,4.0,0.0,191.8,191.8,0.0,0.0,0.76,0.76,0.0,73.33,73.33,0.0,0.36,0.36
clatronic,1015.0,874.0,-141.0,2.0,5.0,3.0,73.33,270.29,196.96,268.59,0.2,0.57,0.37,66.67,58.33,-8.34,0.07,0.31,0.24
pupa,0.0,1055.0,1055.0,0.0,15.0,15.0,0.0,197.51,197.51,0.0,0.0,1.42,1.42,0.0,70.0,70.0,0.0,0.19,0.19
arua,0.0,605.0,605.0,0.0,5.0,5.0,0.0,198.13,198.13,0.0,0.0,0.83,0.83,0.0,64.29,64.29,0.0,0.33,0.33
tamaris,0.0,933.0,933.0,0.0,3.0,3.0,0.0,199.23,199.23,0.0,0.0,0.32,0.32,0.0,76.92,76.92,0.0,0.21,0.21
drjart,0.0,830.0,830.0,0.0,7.0,7.0,0.0,200.62,200.62,0.0,0.0,0.84,0.84,0.0,70.83,70.83,0.0,0.24,0.24
jordan,0.0,1707.0,1707.0,0.0,2.0,2.0,0.0,205.42,205.42,0.0,0.0,0.12,0.12,0.0,87.5,87.5,0.0,0.12,0.12
denn,0.0,672.0,672.0,0.0,9.0,9.0,0.0,212.91,212.91,0.0,0.0,1.34,1.34,0.0,75.0,75.0,0.0,0.32,0.32
grow-with-me,0.0,592.0,592.0,0.0,6.0,6.0,0.0,216.2,216.2,0.0,0.0,1.01,1.01,0.0,71.43,71.43,0.0,0.37,0.37
elikor,0.0,511.0,511.0,0.0,2.0,2.0,0.0,223.41,223.41,0.0,0.0,0.39,0.39,0.0,86.67,86.67,0.0,0.44,0.44
navitel,1552.0,998.0,-554.0,11.0,15.0,4.0,1127.68,1355.44,227.76,20.2,0.71,1.5,0.79,54.17,25.0,-29.17,0.73,1.36,0.63
bruder,0.0,1261.0,1261.0,0.0,3.0,3.0,0.0,230.15,230.15,0.0,0.0,0.24,0.24,0.0,88.46,88.46,0.0,0.18,0.18
beats,603.0,541.0,-62.0,5.0,7.0,2.0,1392.44,1626.1,233.66,16.78,0.83,1.29,0.46,28.57,53.33,24.76,2.31,3.01,0.7
vichy,0.0,737.0,737.0,0.0,11.0,11.0,0.0,235.22,235.22,0.0,0.0,1.49,1.49,0.0,69.44,69.44,0.0,0.32,0.32
norfin,0.0,1698.0,1698.0,0.0,6.0,6.0,0.0,239.74,239.74,0.0,0.0,0.35,0.35,0.0,73.91,73.91,0.0,0.14,0.14
gezatone,0.0,522.0,522.0,0.0,5.0,5.0,0.0,241.97,241.97,0.0,0.0,0.96,0.96,0.0,54.55,54.55,0.0,0.46,0.46
trollbeads,0.0,1206.0,1206.0,0.0,3.0,3.0,0.0,246.28,246.28,0.0,0.0,0.25,0.25,0.0,50.0,50.0,0.0,0.2,0.2
deluxe,0.0,1175.0,1175.0,0.0,14.0,14.0,0.0,249.44,249.44,0.0,0.0,1.19,1.19,0.0,67.44,67.44,0.0,0.21,0.21
bardahl,0.0,587.0,587.0,0.0,9.0,9.0,0.0,254.32,254.32,0.0,0.0,1.53,1.53,0.0,65.38,65.38,0.0,0.43,0.43
bsa-wheels,0.0,521.0,521.0,0.0,1.0,1.0,0.0,258.44,258.44,0.0,0.0,0.19,0.19,0.0,93.75,93.75,0.0,0.5,0.5
adata,0.0,587.0,587.0,0.0,7.0,7.0,0.0,264.58,264.58,0.0,0.0,1.19,1.19,0.0,75.86,75.86,0.0,0.45,0.45
escan,0.0,1132.0,1132.0,0.0,6.0,6.0,0.0,266.93,266.93,0.0,0.0,0.53,0.53,0.0,72.73,72.73,0.0,0.24,0.24
yoya,0.0,600.0,600.0,0.0,3.0,3.0,0.0,267.15,267.15,0.0,0.0,0.5,0.5,0.0,57.14,57.14,0.0,0.45,0.45
coballe,0.0,864.0,864.0,0.0,4.0,4.0,0.0,270.61,270.61,0.0,0.0,0.46,0.46,0.0,81.82,81.82,0.0,0.31,0.31
x-game,0.0,1727.0,1727.0,0.0,11.0,11.0,0.0,275.75,275.75,0.0,0.0,0.64,0.64,0.0,82.26,82.26,0.0,0.16,0.16
turbo,992.0,1246.0,254.0,12.0,16.0,4.0,743.61,1024.01,280.4,37.71,1.21,1.28,0.07,33.33,63.64,30.31,0.75,0.82,0.07
oral-b,0.0,697.0,697.0,0.0,9.0,9.0,0.0,284.44,284.44,0.0,0.0,1.29,1.29,0.0,78.57,78.57,0.0,0.41,0.41
native,0.0,816.0,816.0,0.0,2.0,2.0,0.0,288.24,288.24,0.0,0.0,0.25,0.25,0.0,84.62,84.62,0.0,0.35,0.35
edufun,853.0,1129.0,276.0,5.0,7.0,2.0,488.95,777.2,288.25,58.95,0.59,0.62,0.03,66.67,81.58,14.91,0.57,0.69,0.12
tomahawk,0.0,952.0,952.0,0.0,3.0,3.0,0.0,293.43,293.43,0.0,0.0,0.32,0.32,0.0,81.25,81.25,0.0,0.31,0.31
decoroom,0.0,787.0,787.0,0.0,10.0,10.0,0.0,304.83,304.83,0.0,0.0,1.27,1.27,0.0,69.7,69.7,0.0,0.39,0.39
harley-davidson,0.0,1249.0,1249.0,0.0,1.0,1.0,0.0,306.31,306.31,0.0,0.0,0.08,0.08,0.0,66.67,66.67,0.0,0.25,0.25
dkny,0.0,602.0,602.0,0.0,2.0,2.0,0.0,307.6,307.6,0.0,0.0,0.33,0.33,0.0,88.24,88.24,0.0,0.51,0.51
mykronoz,0.0,690.0,690.0,0.0,5.0,5.0,0.0,310.34,310.34,0.0,0.0,0.72,0.72,0.0,54.55,54.55,0.0,0.45,0.45
maxler,0.0,586.0,586.0,0.0,8.0,8.0,0.0,310.57,310.57,0.0,0.0,1.37,1.37,0.0,65.22,65.22,0.0,0.53,0.53
ubisoft,0.0,821.0,821.0,0.0,12.0,12.0,0.0,315.11,315.11,0.0,0.0,1.46,1.46,0.0,76.0,76.0,0.0,0.38,0.38
balta,0.0,943.0,943.0,0.0,5.0,5.0,0.0,320.17,320.17,0.0,0.0,0.53,0.53,0.0,68.75,68.75,0.0,0.34,0.34
rondell,5850.0,6392.0,542.0,59.0,53.0,-6.0,2717.62,3040.53,322.91,11.88,1.01,0.83,-0.18,39.18,70.06,30.88,0.46,0.48,0.02
alpina,568.0,583.0,15.0,0.0,2.0,2.0,0.0,330.51,330.51,0.0,0.0,0.34,0.34,0.0,75.0,75.0,0.0,0.57,0.57
danielklein,0.0,909.0,909.0,0.0,8.0,8.0,0.0,331.79,331.79,0.0,0.0,0.88,0.88,0.0,60.0,60.0,0.0,0.37,0.37
adriatica,0.0,569.0,569.0,0.0,2.0,2.0,0.0,344.16,344.16,0.0,0.0,0.35,0.35,0.0,71.43,71.43,0.0,0.6,0.6
fossil,0.0,1365.0,1365.0,0.0,2.0,2.0,0.0,349.04,349.04,0.0,0.0,0.15,0.15,0.0,84.62,84.62,0.0,0.26,0.26
gross,0.0,592.0,592.0,0.0,3.0,3.0,0.0,349.52,349.52,0.0,0.0,0.51,0.51,0.0,50.0,50.0,0.0,0.59,0.59
bestway,0.0,1642.0,1642.0,0.0,7.0,7.0,0.0,350.72,350.72,0.0,0.0,0.43,0.43,0.0,75.0,75.0,0.0,0.21,0.21
canyon,3082.0,2268.0,-814.0,29.0,36.0,7.0,1122.94,1476.83,353.89,31.51,0.94,1.59,0.65,52.46,56.1,3.64,0.36,0.65,0.29
reebok,0.0,1707.0,1707.0,0.0,3.0,3.0,0.0,354.45,354.45,0.0,0.0,0.18,0.18,0.0,84.21,84.21,0.0,0.21,0.21
amouage,0.0,727.0,727.0,0.0,1.0,1.0,0.0,363.46,363.46,0.0,0.0,0.14,0.14,0.0,66.67,66.67,0.0,0.5,0.5
covani,0.0,798.0,798.0,0.0,3.0,3.0,0.0,364.74,364.74,0.0,0.0,0.38,0.38,0.0,76.92,76.92,0.0,0.46,0.46
vako,0.0,680.0,680.0,0.0,4.0,4.0,0.0,365.77,365.77,0.0,0.0,0.59,0.59,0.0,76.47,76.47,0.0,0.54,0.54
kenzo,0.0,551.0,551.0,0.0,4.0,4.0,0.0,377.07,377.07,0.0,0.0,0.73,0.73,0.0,80.95,80.95,0.0,0.68,0.68
gerat,0.0,2734.0,2734.0,0.0,6.0,6.0,0.0,384.2,384.2,0.0,0.0,0.22,0.22,0.0,83.33,83.33,0.0,0.14,0.14
babytime,0.0,1238.0,1238.0,0.0,6.0,6.0,0.0,386.65,386.65,0.0,0.0,0.48,0.48,0.0,62.5,62.5,0.0,0.31,0.31
lux,0.0,1170.0,1170.0,0.0,4.0,4.0,0.0,391.26,391.26,0.0,0.0,0.34,0.34,0.0,77.78,77.78,0.0,0.33,0.33
delmax,0.0,656.0,656.0,0.0,10.0,10.0,0.0,394.31,394.31,0.0,0.0,1.52,1.52,0.0,75.0,75.0,0.0,0.6,0.6
axper,0.0,633.0,633.0,0.0,5.0,5.0,0.0,397.65,397.65,0.0,0.0,0.79,0.79,0.0,61.54,61.54,0.0,0.63,0.63
montblanc,0.0,738.0,738.0,0.0,10.0,10.0,0.0,400.1,400.1,0.0,0.0,1.36,1.36,0.0,79.17,79.17,0.0,0.54,0.54
syma,0.0,569.0,569.0,0.0,2.0,2.0,0.0,401.56,401.56,0.0,0.0,0.35,0.35,0.0,83.33,83.33,0.0,0.71,0.71
tonybellucci,0.0,792.0,792.0,0.0,6.0,6.0,0.0,405.16,405.16,0.0,0.0,0.76,0.76,0.0,53.85,53.85,0.0,0.51,0.51
aplus,0.0,618.0,618.0,0.0,10.0,10.0,0.0,421.11,421.11,0.0,0.0,1.62,1.62,0.0,81.48,81.48,0.0,0.68,0.68
stanley,0.0,3072.0,3072.0,0.0,9.0,9.0,0.0,424.99,424.99,0.0,0.0,0.29,0.29,0.0,80.85,80.85,0.0,0.14,0.14
steelseries,0.0,718.0,718.0,0.0,9.0,9.0,0.0,425.81,425.81,0.0,0.0,1.25,1.25,0.0,71.88,71.88,0.0,0.59,0.59
mart,1492.0,1557.0,65.0,8.0,22.0,14.0,570.52,998.52,428.0,75.02,0.54,1.41,0.87,57.89,66.67,8.78,0.38,0.64,0.26
kukmara,0.0,1053.0,1053.0,0.0,13.0,13.0,0.0,428.55,428.55,0.0,0.0,1.23,1.23,0.0,71.74,71.74,0.0,0.41,0.41
doogee,0.0,1457.0,1457.0,0.0,3.0,3.0,0.0,431.12,431.12,0.0,0.0,0.21,0.21,0.0,78.57,78.57,0.0,0.3,0.3
barneo,0.0,558.0,558.0,0.0,5.0,5.0,0.0,441.7,441.7,0.0,0.0,0.9,0.9,0.0,75.0,75.0,0.0,0.79,0.79
huggies,0.0,1011.0,1011.0,0.0,35.0,35.0,0.0,443.3,443.3,0.0,0.0,3.46,3.46,0.0,56.25,56.25,0.0,0.44,0.44
evrodetal,0.0,553.0,553.0,0.0,2.0,2.0,0.0,444.28,444.28,0.0,0.0,0.36,0.36,0.0,84.62,84.62,0.0,0.8,0.8
thermex,1288.0,1121.0,-167.0,23.0,31.0,8.0,2612.33,3058.67,446.34,17.09,1.79,2.77,0.98,28.13,59.21,31.08,2.03,2.73,0.7
marcomenti,0.0,1378.0,1378.0,0.0,3.0,3.0,0.0,455.61,455.61,0.0,0.0,0.22,0.22,0.0,78.57,78.57,0.0,0.33,0.33
petek,0.0,1495.0,1495.0,0.0,7.0,7.0,0.0,459.23,459.23,0.0,0.0,0.47,0.47,0.0,77.42,77.42,0.0,0.31,0.31
axis,0.0,852.0,852.0,0.0,3.0,3.0,0.0,467.71,467.71,0.0,0.0,0.35,0.35,0.0,93.33,93.33,0.0,0.55,0.55
smile,0.0,981.0,981.0,0.0,10.0,10.0,0.0,471.65,471.65,0.0,0.0,1.02,1.02,0.0,58.33,58.33,0.0,0.48,0.48
bose,0.0,540.0,540.0,0.0,1.0,1.0,0.0,477.46,477.46,0.0,0.0,0.19,0.19,0.0,75.0,75.0,0.0,0.88,0.88
bambola,0.0,785.0,785.0,0.0,9.0,9.0,0.0,487.74,487.74,0.0,0.0,1.15,1.15,0.0,60.87,60.87,0.0,0.62,0.62
mutant,0.0,595.0,595.0,0.0,12.0,12.0,0.0,489.08,489.08,0.0,0.0,2.02,2.02,0.0,60.0,60.0,0.0,0.82,0.82
karat,0.0,1609.0,1609.0,0.0,9.0,9.0,0.0,494.25,494.25,0.0,0.0,0.56,0.56,0.0,78.57,78.57,0.0,0.31,0.31
trust,0.0,1716.0,1716.0,0.0,9.0,9.0,0.0,498.08,498.08,0.0,0.0,0.52,0.52,0.0,81.25,81.25,0.0,0.29,0.29
anytek,0.0,886.0,886.0,0.0,6.0,6.0,0.0,499.39,499.39,0.0,0.0,0.68,0.68,0.0,75.0,75.0,0.0,0.56,0.56
ryobi,740.0,709.0,-31.0,1.0,3.0,2.0,93.93,611.71,517.78,551.24,0.14,0.42,0.28,0.0,50.0,50.0,0.13,0.86,0.73
garvalin,0.0,1285.0,1285.0,0.0,8.0,8.0,0.0,523.82,523.82,0.0,0.0,0.62,0.62,0.0,55.56,55.56,0.0,0.41,0.41
flight,0.0,645.0,645.0,0.0,6.0,6.0,0.0,536.7,536.7,0.0,0.0,0.93,0.93,0.0,70.0,70.0,0.0,0.83,0.83
kolner,0.0,1792.0,1792.0,0.0,14.0,14.0,0.0,536.95,536.95,0.0,0.0,0.78,0.78,0.0,74.55,74.55,0.0,0.3,0.3
bene,0.0,1368.0,1368.0,0.0,20.0,20.0,0.0,537.2,537.2,0.0,0.0,1.46,1.46,0.0,44.44,44.44,0.0,0.39,0.39
bartek,0.0,537.0,537.0,0.0,7.0,7.0,0.0,537.99,537.99,0.0,0.0,1.3,1.3,0.0,56.25,56.25,0.0,1.0,1.0
aoteli,0.0,644.0,644.0,0.0,11.0,11.0,0.0,541.08,541.08,0.0,0.0,1.71,1.71,0.0,77.55,77.55,0.0,0.84,0.84
shimano,0.0,547.0,547.0,0.0,4.0,4.0,0.0,548.2,548.2,0.0,0.0,0.73,0.73,0.0,50.0,50.0,0.0,1.0,1.0
zelmer,0.0,605.0,605.0,0.0,7.0,7.0,0.0,549.51,549.51,0.0,0.0,1.16,1.16,0.0,61.11,61.11,0.0,0.91,0.91
maxtrek,0.0,804.0,804.0,0.0,7.0,7.0,0.0,555.99,555.99,0.0,0.0,0.87,0.87,0.0,68.18,68.18,0.0,0.69,0.69
defender,0.0,3708.0,3708.0,0.0,53.0,53.0,0.0,573.81,573.81,0.0,0.0,1.43,1.43,0.0,63.7,63.7,0.0,0.15,0.15
hasbro,0.0,1552.0,1552.0,0.0,11.0,11.0,0.0,584.78,584.78,0.0,0.0,0.71,0.71,0.0,71.79,71.79,0.0,0.38,0.38
nakamichi,0.0,699.0,699.0,0.0,7.0,7.0,0.0,596.91,596.91,0.0,0.0,1.0,1.0,0.0,66.67,66.67,0.0,0.85,0.85
centurion,0.0,924.0,924.0,0.0,7.0,7.0,0.0,600.63,600.63,0.0,0.0,0.76,0.76,0.0,83.72,83.72,0.0,0.65,0.65
peterhof,0.0,736.0,736.0,0.0,8.0,8.0,0.0,604.72,604.72,0.0,0.0,1.09,1.09,0.0,71.43,71.43,0.0,0.82,0.82
berghoff,1709.0,1863.0,154.0,5.0,12.0,7.0,397.42,1002.83,605.41,152.34,0.29,0.64,0.35,75.0,65.71,-9.29,0.23,0.54,0.31
ritmix,0.0,4572.0,4572.0,0.0,38.0,38.0,0.0,607.1,607.1,0.0,0.0,0.83,0.83,0.0,74.15,74.15,0.0,0.13,0.13
bergner,0.0,1331.0,1331.0,0.0,13.0,13.0,0.0,611.08,611.08,0.0,0.0,0.98,0.98,0.0,48.0,48.0,0.0,0.46,0.46
maunfeld,0.0,605.0,605.0,0.0,5.0,5.0,0.0,615.34,615.34,0.0,0.0,0.83,0.83,0.0,77.27,77.27,0.0,1.02,1.02
conceptclub,0.0,7635.0,7635.0,0.0,17.0,17.0,0.0,615.99,615.99,0.0,0.0,0.22,0.22,0.0,75.71,75.71,0.0,0.08,0.08
rial,0.0,565.0,565.0,0.0,2.0,2.0,0.0,616.61,616.61,0.0,0.0,0.35,0.35,0.0,85.71,85.71,0.0,1.09,1.09
adidas,0.0,2318.0,2318.0,0.0,6.0,6.0,0.0,617.76,617.76,0.0,0.0,0.26,0.26,0.0,85.37,85.37,0.0,0.27,0.27
oursson,0.0,836.0,836.0,0.0,5.0,5.0,0.0,617.89,617.89,0.0,0.0,0.6,0.6,0.0,87.8,87.8,0.0,0.74,0.74
bertoni,0.0,742.0,742.0,0.0,8.0,8.0,0.0,619.26,619.26,0.0,0.0,1.08,1.08,0.0,57.89,57.89,0.0,0.83,0.83
kumho,0.0,570.0,570.0,0.0,9.0,9.0,0.0,620.09,620.09,0.0,0.0,1.58,1.58,0.0,80.0,80.0,0.0,1.09,1.09
celestron,0.0,666.0,666.0,0.0,2.0,2.0,0.0,625.5,625.5,0.0,0.0,0.3,0.3,0.0,75.0,75.0,0.0,0.94,0.94
vihr,0.0,1028.0,1028.0,0.0,14.0,14.0,0.0,631.91,631.91,0.0,0.0,1.36,1.36,0.0,65.85,65.85,0.0,0.61,0.61
renova,0.0,535.0,535.0,0.0,8.0,8.0,0.0,634.73,634.73,0.0,0.0,1.5,1.5,0.0,55.56,55.56,0.0,1.19,1.19
sonel,0.0,736.0,736.0,0.0,6.0,6.0,0.0,635.02,635.02,0.0,0.0,0.82,0.82,0.0,77.78,77.78,0.0,0.86,0.86
partner,0.0,547.0,547.0,0.0,6.0,6.0,0.0,635.34,635.34,0.0,0.0,1.1,1.1,0.0,60.0,60.0,0.0,1.16,1.16
puma,0.0,1613.0,1613.0,0.0,7.0,7.0,0.0,638.88,638.88,0.0,0.0,0.43,0.43,0.0,61.11,61.11,0.0,0.4,0.4
gipfel,0.0,1450.0,1450.0,0.0,5.0,5.0,0.0,639.0,639.0,0.0,0.0,0.34,0.34,0.0,58.33,58.33,0.0,0.44,0.44
ccm,0.0,581.0,581.0,0.0,6.0,6.0,0.0,643.51,643.51,0.0,0.0,1.03,1.03,0.0,50.0,50.0,0.0,1.11,1.11
zubr,0.0,1994.0,1994.0,0.0,12.0,12.0,0.0,652.87,652.87,0.0,0.0,0.6,0.6,0.0,70.0,70.0,0.0,0.33,0.33
razer,0.0,882.0,882.0,0.0,8.0,8.0,0.0,668.4,668.4,0.0,0.0,0.91,0.91,0.0,57.89,57.89,0.0,0.76,0.76
vega,0.0,3931.0,3931.0,0.0,25.0,25.0,0.0,674.49,674.49,0.0,0.0,0.64,0.64,0.0,69.14,69.14,0.0,0.17,0.17
millionaire,0.0,1345.0,1345.0,0.0,9.0,9.0,0.0,676.18,676.18,0.0,0.0,0.67,0.67,0.0,72.73,72.73,0.0,0.5,0.5
seagate,0.0,953.0,953.0,0.0,10.0,10.0,0.0,679.45,679.45,0.0,0.0,1.05,1.05,0.0,80.77,80.77,0.0,0.71,0.71
swat,0.0,1517.0,1517.0,0.0,12.0,12.0,0.0,682.39,682.39,0.0,0.0,0.79,0.79,0.0,70.73,70.73,0.0,0.45,0.45
acme,0.0,1554.0,1554.0,0.0,12.0,12.0,0.0,693.34,693.34,0.0,0.0,0.77,0.77,0.0,65.71,65.71,0.0,0.45,0.45
volta,0.0,908.0,908.0,0.0,17.0,17.0,0.0,693.49,693.49,0.0,0.0,1.87,1.87,0.0,71.67,71.67,0.0,0.76,0.76
mebelswow-rn,0.0,702.0,702.0,0.0,7.0,7.0,0.0,693.7,693.7,0.0,0.0,1.0,1.0,0.0,74.07,74.07,0.0,0.99,0.99
moldabela,0.0,715.0,715.0,0.0,4.0,4.0,0.0,696.54,696.54,0.0,0.0,0.56,0.56,0.0,77.78,77.78,0.0,0.97,0.97
llorens,0.0,1543.0,1543.0,0.0,16.0,16.0,0.0,699.35,699.35,0.0,0.0,1.04,1.04,0.0,58.97,58.97,0.0,0.45,0.45
mebelson,0.0,885.0,885.0,0.0,2.0,2.0,0.0,700.87,700.87,0.0,0.0,0.23,0.23,0.0,75.0,75.0,0.0,0.79,0.79
versale,0.0,777.0,777.0,0.0,7.0,7.0,0.0,707.31,707.31,0.0,0.0,0.9,0.9,0.0,58.82,58.82,0.0,0.91,0.91
ovation,0.0,940.0,940.0,0.0,15.0,15.0,0.0,718.43,718.43,0.0,0.0,1.6,1.6,0.0,71.7,71.7,0.0,0.76,0.76
velvet,0.0,929.0,929.0,0.0,4.0,4.0,0.0,723.99,723.99,0.0,0.0,0.43,0.43,0.0,76.47,76.47,0.0,0.78,0.78
sailun,0.0,535.0,535.0,0.0,12.0,12.0,0.0,724.98,724.98,0.0,0.0,2.24,2.24,0.0,68.42,68.42,0.0,1.36,1.36
mazzini,0.0,1189.0,1189.0,0.0,19.0,19.0,0.0,726.45,726.45,0.0,0.0,1.6,1.6,0.0,82.73,82.73,0.0,0.61,0.61
babyswing,0.0,565.0,565.0,0.0,9.0,9.0,0.0,730.7,730.7,0.0,0.0,1.59,1.59,0.0,74.29,74.29,0.0,1.29,1.29
eltempo,0.0,519.0,519.0,0.0,9.0,9.0,0.0,731.05,731.05,0.0,0.0,1.73,1.73,0.0,59.09,59.09,0.0,1.41,1.41
geil,0.0,1114.0,1114.0,0.0,16.0,16.0,0.0,748.04,748.04,0.0,0.0,1.44,1.44,0.0,68.63,68.63,0.0,0.67,0.67
farroad,0.0,945.0,945.0,0.0,13.0,13.0,0.0,762.17,762.17,0.0,0.0,1.38,1.38,0.0,81.69,81.69,0.0,0.81,0.81
hertz,0.0,998.0,998.0,0.0,7.0,7.0,0.0,764.86,764.86,0.0,0.0,0.7,0.7,0.0,69.57,69.57,0.0,0.77,0.77
whirlpool,741.0,858.0,117.0,2.0,3.0,1.0,1565.24,2334.4,769.16,49.14,0.27,0.35,0.08,0.0,66.67,66.67,2.11,2.72,0.61
rooman,0.0,2379.0,2379.0,0.0,13.0,13.0,0.0,787.67,787.67,0.0,0.0,0.55,0.55,0.0,75.0,75.0,0.0,0.33,0.33
lacoste,0.0,973.0,973.0,0.0,14.0,14.0,0.0,788.2,788.2,0.0,0.0,1.44,1.44,0.0,77.78,77.78,0.0,0.81,0.81
tp-link,5091.0,4736.0,-355.0,101.0,94.0,-7.0,6830.95,7620.49,789.54,11.56,1.98,1.98,0.0,17.21,59.48,42.27,1.34,1.61,0.27
deepcool,0.0,1731.0,1731.0,0.0,27.0,27.0,0.0,798.53,798.53,0.0,0.0,1.56,1.56,0.0,65.82,65.82,0.0,0.46,0.46
dunlop,0.0,971.0,971.0,0.0,8.0,8.0,0.0,803.5,803.5,0.0,0.0,0.82,0.82,0.0,87.3,87.3,0.0,0.83,0.83
gree,0.0,898.0,898.0,0.0,3.0,3.0,0.0,819.01,819.01,0.0,0.0,0.33,0.33,0.0,89.66,89.66,0.0,0.91,0.91
burgerschuhe,0.0,1440.0,1440.0,0.0,8.0,8.0,0.0,825.26,825.26,0.0,0.0,0.56,0.56,0.0,68.0,68.0,0.0,0.57,0.57
casper,0.0,608.0,608.0,0.0,8.0,8.0,0.0,843.26,843.26,0.0,0.0,1.32,1.32,0.0,42.86,42.86,0.0,1.39,1.39
irbis,0.0,1339.0,1339.0,0.0,10.0,10.0,0.0,845.19,845.19,0.0,0.0,0.75,0.75,0.0,58.33,58.33,0.0,0.63,0.63
matrix,0.0,2392.0,2392.0,0.0,15.0,15.0,0.0,846.04,846.04,0.0,0.0,0.63,0.63,0.0,70.59,70.59,0.0,0.35,0.35
bodysculpture,0.0,691.0,691.0,0.0,2.0,2.0,0.0,846.48,846.48,0.0,0.0,0.29,0.29,0.0,92.31,92.31,0.0,1.23,1.23
trebl,0.0,2396.0,2396.0,0.0,10.0,10.0,0.0,855.63,855.63,0.0,0.0,0.42,0.42,0.0,93.63,93.63,0.0,0.36,0.36
bauer,0.0,1118.0,1118.0,0.0,15.0,15.0,0.0,855.71,855.71,0.0,0.0,1.34,1.34,0.0,53.13,53.13,0.0,0.77,0.77
lancome,0.0,720.0,720.0,0.0,12.0,12.0,0.0,861.84,861.84,0.0,0.0,1.67,1.67,0.0,73.33,73.33,0.0,1.2,1.2
diamant,0.0,604.0,604.0,0.0,6.0,6.0,0.0,867.98,867.98,0.0,0.0,0.99,0.99,0.0,57.14,57.14,0.0,1.44,1.44
sava,0.0,830.0,830.0,0.0,11.0,11.0,0.0,875.5,875.5,0.0,0.0,1.33,1.33,0.0,74.42,74.42,0.0,1.05,1.05
saturn,0.0,2606.0,2606.0,0.0,19.0,19.0,0.0,884.31,884.31,0.0,0.0,0.73,0.73,0.0,72.86,72.86,0.0,0.34,0.34
triton,0.0,646.0,646.0,0.0,2.0,2.0,0.0,894.14,894.14,0.0,0.0,0.31,0.31,0.0,85.71,85.71,0.0,1.38,1.38
changhong,1661.0,1824.0,163.0,27.0,29.0,2.0,5732.67,6630.12,897.45,15.66,1.63,1.59,-0.04,6.9,61.84,54.94,3.45,3.63,0.18
toyota,0.0,584.0,584.0,0.0,6.0,6.0,0.0,901.67,901.67,0.0,0.0,1.03,1.03,0.0,68.42,68.42,0.0,1.54,1.54
nitto,0.0,666.0,666.0,0.0,11.0,11.0,0.0,908.88,908.88,0.0,0.0,1.65,1.65,0.0,66.67,66.67,0.0,1.36,1.36
cougar,0.0,525.0,525.0,0.0,9.0,9.0,0.0,910.43,910.43,0.0,0.0,1.71,1.71,0.0,47.06,47.06,0.0,1.73,1.73
wonlex,0.0,2790.0,2790.0,0.0,26.0,26.0,0.0,916.03,916.03,0.0,0.0,0.93,0.93,0.0,70.11,70.11,0.0,0.33,0.33
komfort-s,0.0,1311.0,1311.0,0.0,3.0,3.0,0.0,921.7,921.7,0.0,0.0,0.23,0.23,0.0,76.92,76.92,0.0,0.7,0.7
brother,1151.0,1519.0,368.0,14.0,17.0,3.0,1405.75,2331.7,925.95,65.87,1.22,1.12,-0.1,36.36,76.39,40.03,1.22,1.54,0.32
m-audio,0.0,593.0,593.0,0.0,6.0,6.0,0.0,930.62,930.62,0.0,0.0,1.01,1.01,0.0,66.67,66.67,0.0,1.57,1.57
shenma,0.0,630.0,630.0,0.0,16.0,16.0,0.0,934.39,934.39,0.0,0.0,2.54,2.54,0.0,33.33,33.33,0.0,1.48,1.48
swisshome,0.0,917.0,917.0,0.0,7.0,7.0,0.0,951.37,951.37,0.0,0.0,0.76,0.76,0.0,73.08,73.08,0.0,1.04,1.04
